Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,GidNET+ Average Runtime,GidNET+ Stdev Runtime,GidNET+ Width,QNET-random Average Runtime,QNET-random Stdev Runtime,QNET-random Width
16,0.017354868626820723,0.0005348456119815757,10,0.029453659601443048,0.0006249961762537447,8,0.23204181231890939,0.020645590482550377,8
20,0.024008946170631262,0.0007224364270009705,11,0.053364776357609243,0.0022968220276064566,10,0.6442033994244412,0.032510586354494095,9
25,0.03821266188419291,0.0012262527130064021,11,0.11291051145609735,0.004600164833012815,10,1.913570366683416,0.034046396067852924,9
30,0.05457447439798021,0.00751798645776735,13,0.25176161113527734,0.017385365928608804,11,4.44256883588553,0.11628891411293517,12
36,0.07798056200013628,0.002865219966000622,13,0.417174360282453,0.022869936759200005,12,10.344220800574735,0.3439877270145606,11
42,0.10932789090189285,0.002246141685216254,14,0.8023185419650483,0.062081753436582045,12,24.0051559528469,1.05698536391164,13
49,0.17136177572787606,0.01139222031788494,16,1.5153753573041675,0.09599245810670978,13,43.06071310482054,1.047464076523836,14
56,0.18227952934602007,0.004345727239138723,16,2.0809512013137073,0.08596162535429139,14,74.57041657057458,3.272119910803732,19
64,0.23460159555543214,0.02528107955670475,21,3.7082136232971346,0.3603540739216039,19,146.02007033672584,1.985527844189699,19
72,0.31933502099543276,0.0244155225722108,23,5.592459641563307,0.3318392576619033,18,270.30578411528506,4.202904095509183,20
81,0.44281169025427,0.039491771771520814,23,9.209845376134451,0.07856398179425227,18,477.49195550799567,8.840352274823148,20
90,0.6406138107080811,0.11505456057927589,24,15.171023999407355,0.36732934378582127,21,753.2733863414531,10.373782063804672,23
100,0.6991893461506281,0.014669118437134003,25,22.47184966616,0.6585272555430359,22,1268.2587172555504,10.915719318014576,25
110,0.882459223702816,0.04896000906357095,24,34.95889304440269,1.221368537105079,23,2045.4038420368784,68.64442387049264,23
121,1.2864272258676854,0.0281131962949252,25,61.57306983341862,6.146779539877031,24,3250.8634706950147,121.33382884599317,24
132,1.5332876574248075,0.058965289018228076,31,76.06561404900692,0.6395081879674916,25,4726.531864838558,192.84463817076715,28
144,1.8007772127499007,0.1797723127868859,38,106.39183159571674,3.1774689727724295,28,7662.45137651584,211.90042186985764,29
