Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Average Width,GidNET Stdev Width,GidNET Min Width,GidNET Max Width,QNET Average Runtime,QNET Stdev Runtime,QNET Average Width,QNET Stdev Width,QNET Min Width,QNET Max Width
6,0.009675676445917427,0.000608264022353184,6.0,0.0,6,6,0.012909781126712913,0.005683881112459063,6.0,0.0,6,6
10,0.03038544370743121,0.002333192810546244,8.95,0.8046738469715541,7,10,0.029478794949297615,0.006707512233564477,8.95,0.8046738469715541,7,10
14,0.052541816134325924,0.003549708681949803,11.15,1.388344337691482,8,13,0.050662122213543624,0.00437297737097033,11.15,1.3518505834595773,8,13
18,0.07517570279160281,0.0055422527527570304,14.2,1.3638181696985856,11,16,0.10161846665066801,0.007071294066966457,14.2,1.4,11,16
22,0.11201976322250891,0.012302744949656724,15.6,1.3564659966250538,12,18,0.2913739593129555,0.01919242484646088,15.65,1.5256146302392357,12,18
26,0.1380580013042033,0.0070629208687066364,17.5,1.9874606914351791,14,21,0.6856630672289091,0.03643308772101731,17.55,2.108909670896314,13,21
30,0.17867916412674403,0.008551879780849552,20.2,1.98997487421324,17,24,1.32945592881567,0.0719242297709349,20.3,1.9773719933285185,16,24
34,0.25237479412233893,0.01831425229681715,22.05,1.7741194999210173,18,25,2.867301314535351,0.15081355134686927,22.35,1.49248115565993,18,24
38,0.33824854346520233,0.0260420366904837,23.7,2.0024984394500787,20,28,5.181067490192072,0.2318761637310372,23.75,2.5273503912200224,20,28
42,0.4347502117361207,0.02654889246545348,26.3,2.2605309110914633,23,31,8.964531257822197,0.3968518915180476,26.7,1.9519221295943134,23,31
46,0.607887090715563,0.05002431107947898,28.25,2.2555487137279924,24,33,15.284912569455631,0.5412431535875328,28.9,1.9209372712298547,25,34
50,0.7213024386140335,0.03754343601032677,30.05,2.4794152536434875,25,35,22.454573160963733,0.38171009640413733,30.55,2.854382595238417,26,36
