Circuit Sizes,QNET-main Average Runtime,QNET-main Stdev Runtime,QNET-main Width
16,0.053666766514278215,0.023831363273166817,10
20,0.0029084998584169497,0.00034381499069153994,12
25,0.004627793713422891,0.0007832826297528248,14
30,0.004518093001804248,0.0001396115197833219,16
36,0.005621061427518725,0.00021639175828343747,19
42,0.0064076811436929604,0.0005706355987826554,20
49,0.00777594514199466,0.0005534035720465338,24
56,0.008855683287297975,0.0007392679579931985,24
64,0.010114314141641703,0.0005712262859767079,30
72,0.011379966428129202,0.0007479937090753523,29
81,0.018285938715312762,0.007334208824577893,30
90,0.01432524285753191,0.0007774513408407436,32
100,0.015421825715748128,0.0008994142828575565,32
110,0.019810511999821756,0.0012819174575875046,36
121,0.021326522143291577,0.0011362940577854576,39
132,0.021747630142531955,0.00113393263372218,38
144,0.024109489143094315,0.0015016616645410284,41
