Circuit Sizes,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
16,0.10685214009993484,0.006754182081352012,10
20,0.15719843085717003,0.008841746211342273,13
25,0.21992589082853686,0.006762742377951242,16
30,0.2958209732849874,0.030476936388235964,19
36,0.4050442799993367,0.01915653933739426,26
42,0.5700796357138772,0.02028978345457005,28
49,0.7427028401429457,0.03777960585458472,39
56,0.8897312414285677,0.037168243074580935,42
64,1.1264619211428257,0.05766080173293969,48
72,1.3310606648566525,0.05100024000359176,51
81,1.647278827572466,0.03462912480461383,61
90,1.9647939405715857,0.06665304139843393,66
100,2.3999347592855753,0.1589364157710309,75
110,2.769940192856406,0.048532888394522355,79
121,3.2673821080009344,0.10141921575489572,90
132,3.822136289428662,0.10194733482474796,99
144,4.217988483714829,0.11046123804836663,104
