Circuit Size,Iterations,Mean Runtime,Std Runtime,Min Width
16,16,0.048884797096252444,0.0054823385528419465,8
16,8,0.04073286056518555,0.002811553671319915,8
16,4,0.03843765258789063,0.004344372222915236,8
16,2,0.034709715843200685,0.006222131703088624,8
16,2,0.04233574867248535,0.026669857418412393,8
16,1,0.029427719116210938,0.0014738537800932493,8
20,20,0.06971182823181152,0.0047413321126336255,9
20,10,0.06082742214202881,0.024653760280119077,9
20,5,0.04137396812438965,0.004301956010672491,9
20,2,0.03853394985198975,0.0011187140197352636,10
20,2,0.04785797595977783,0.02710181138883876,9
20,1,0.03755178451538086,0.0015000120666736336,9
25,25,0.12729437351226808,0.03314233335661797,10
25,12,0.08247785568237305,0.005369067421343572,10
25,6,0.07485604286193848,0.02744502911940265,10
25,3,0.061193227767944336,0.004788218389228461,10
25,2,0.055076885223388675,0.002190088098679758,10
25,1,0.061649489402771,0.029072058792016228,10
30,30,0.22004756927490235,0.029447185251396696,11
30,15,0.14654743671417236,0.024027483276634398,11
30,7,0.09527504444122314,0.002270455114677947,11
30,3,0.08939857482910156,0.038199734131323576,11
30,2,0.08630158901214599,0.026038207607899384,12
30,2,0.08159074783325196,0.0246660317034659,12
36,36,0.3626641988754272,0.026924997567021467,12
36,18,0.23394343852996827,0.02787831775696448,12
36,9,0.15220777988433837,0.008439880551857789,12
36,3,0.12862167358398438,0.02869429253081035,12
36,2,0.12452032566070556,0.03916223368272944,12
36,2,0.1137075662612915,0.032862954170292155,13
42,42,0.7131704807281494,0.07918428462864649,11
42,21,0.3868612051010132,0.03467949571553602,11
42,10,0.26339116096496584,0.04394753755713348,12
42,3,0.1627739667892456,0.03136899776496765,12
42,3,0.16850483417510986,0.02881962144260423,12
42,2,0.14784677028656007,0.02566938846254259,12
49,49,1.214939284324646,0.054528835552607804,13
49,24,0.6959116935729981,0.05346106659534946,13
49,12,0.4075408935546875,0.029656717085640678,13
49,3,0.2364192485809326,0.03925505394399984,14
49,3,0.28147432804107664,0.05433849061215602,14
49,2,0.2242971897125244,0.0358100391392744,14
56,56,1.839214563369751,0.14172251235253183,14
56,28,0.9807550430297851,0.04375294364916724,14
56,14,0.599042558670044,0.054172588800228495,14
56,4,0.3144391536712646,0.03642374211083515,15
56,3,0.2845311641693115,0.027819774271086783,15
56,2,0.2574737071990967,0.03806778578141459,15
64,64,3.0952251672744753,0.25151173165619767,17
64,32,1.6173487424850463,0.07138573795430853,17
64,16,0.9541765451431274,0.052862709810599935,17
64,4,0.4156773328781128,0.043616280254467336,18
64,3,0.3871410369873047,0.047767194253441024,17
64,2,0.35781159400939944,0.04034806661654857,18
72,72,4.663501596450805,0.07540823176586343,17
72,36,2.500062108039856,0.04496144021644256,17
72,18,1.4075255393981934,0.059750296445070336,17
72,4,0.5611184597015381,0.04269466190510508,18
72,3,0.5044769287109375,0.04879890452324973,17
72,2,0.44667506217956543,0.05566171896653183,18
81,81,7.85294246673584,0.2617384230590643,17
81,40,3.958641862869263,0.08583320879594958,18
81,20,2.415844178199768,0.19009868174342884,18
81,4,0.7876654386520385,0.04329489350261598,20
81,3,0.7058936595916748,0.07376455241725643,20
81,3,0.6963402509689331,0.057860349063079144,19
90,90,12.799401712417602,0.3314668783550974,19
90,45,6.574419355392456,0.15623121349249766,20
90,22,3.4616406679153444,0.08969189261206455,20
90,4,1.0953955173492431,0.1386107875575766,20
90,3,0.9139343976974488,0.06037639449533995,21
90,3,0.9231627702713012,0.06807830984820185,23
100,100,20.146792459487916,0.6361816838562522,21
100,50,9.999505472183227,0.24656470232864214,22
100,25,5.188029432296753,0.1456310676340426,22
100,4,1.329841923713684,0.07588783884171846,21
100,3,1.1512417554855348,0.04582441765741286,23
100,3,1.137820029258728,0.08324597599305396,23
