Circuit Size,GidNET Mean Runtime,GidNET Stdev Runtime,GidNET Min Width,QNET Mean Runtime,QNET Stdev Runtime,QNET Min Width,Qiskit Mean Runtime,Qiskit Stdev Runtime,Qiskit Min Width
16,0.036771202087402345,0.011772931153885408,9,0.10797452926635742,0.018368979036638953,9,0.04978835582733154,0.012656006391283585,10
20,0.05856020450592041,0.01718987124902638,11,0.3652897596359253,0.04363294048715817,10,0.08330335617065429,0.01408885754740094,15
25,0.07487349510192871,0.014150375838636351,12,1.084592914581299,0.044380601785117504,12,0.12038996219635009,0.015484263494386244,16
30,0.10592412948608398,0.017628924551379252,13,2.655881714820862,0.0950661892688547,13,0.15188987255096437,0.02384817117790233,18
36,0.1400331974029541,0.033467939044341165,17,6.4257159948349,0.19965795285732096,16,0.20431113243103027,0.022404991776382343,27
42,0.1933065414428711,0.04532923098673826,17,14.922122287750245,0.36001843617043694,17,0.27488007545471194,0.028131549796932366,29
49,0.2910590410232544,0.03450375716577067,22,30.47881739139557,0.7662012556063806,23,0.34956719875335696,0.024900926132704764,36
56,0.3733961820602417,0.05543638368192792,23,56.56644477844238,1.6591470693327897,25,0.4598711967468262,0.04301362822602672,43
64,0.5734357833862305,0.04018260096899196,26,118.94498629570008,2.8222613501033464,26,0.5221845865249634,0.04509998999863719,44
72,0.6663348436355591,0.08643864522925543,27,216.87788710594177,4.456463264344966,25,0.7043091058731079,0.045673750770875716,51
81,1.04197154045105,0.06809186055575558,27,403.6685203790665,4.589389683399138,27,0.8427159070968628,0.05051136026816947,60
90,1.4101422071456908,0.05374448343998927,27,672.7991051673889,8.526556346026002,31,0.9139817953109741,0.08097404224811837,65
100,1.8002853631973266,0.05400963889291075,32,1154.0852421998977,12.9391207893748,31,1.0605257749557495,0.09270007168407046,75
110,2.3873284816741944,0.13553242970323637,30,1914.014728808403,39.11739624863069,32,1.2399477243423462,0.06714987923532757,80
121,2.9630191326141357,0.12071766812013826,33,3006.9360193490984,13.827399412222858,34,1.6702614068984984,0.038869435915043514,92
132,4.311510777473449,0.09542618814507554,38,4628.933424901962,78.33192607083703,35,2.1004969120025634,0.4740769810583201,104
144,6.008431720733642,0.37745279110535507,39,7054.363406825066,259.97995660479666,43,1.944570827484131,0.07749763502812498,108
