Circuit Sizes,GidNET Mean Runtime,GidNET Stdev Runtime,GidNET Width,QNET Mean Runtime,QNET Stdev Runtime,QNET Width
6,0.00997749209403992,0.002871656070605059,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0014284050464630125,0.00031942264700818377,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
10,0.025240155458450313,0.005238428505815405,"[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]",0.004447672367095947,0.0005141386696501405,"[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]"
14,0.041708780527114866,0.007025420828729498,"[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 9, 10, 11, 13, 12, 11]",0.023060541152954105,0.004975385496265888,"[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 10, 10, 11, 13, 12, 11]"
18,0.060017611980438236,0.004379628409729491,"[15, 16, 14, 11, 15, 13, 14, 14, 15, 14, 13, 11, 15, 12, 14, 16, 16, 14, 15, 15]",0.062424376010894775,0.005625949348010868,"[15, 16, 14, 11, 15, 13, 15, 14, 15, 14, 13, 11, 15, 13, 14, 16, 16, 14, 15, 15]"
22,0.08423786044120789,0.0024381795127586697,"[16, 14, 16, 16, 16, 15, 12, 16, 17, 17, 15, 15, 14, 16, 15, 16, 14, 17, 18, 15]",0.22342317938804626,0.007377992899273541,"[16, 14, 16, 17, 16, 16, 12, 16, 18, 17, 15, 15, 13, 17, 15, 16, 14, 17, 18, 15]"
26,0.10800638914108276,0.003594312600342944,"[16, 18, 20, 18, 21, 14, 16, 18, 21, 19, 13, 17, 17, 16, 18, 17, 18, 18, 16, 16]",0.5904848659038544,0.007441917598931711,"[16, 18, 20, 19, 21, 14, 17, 19, 21, 20, 13, 17, 16, 16, 18, 17, 19, 18, 16, 16]"
30,0.13632640600204468,0.0024425258363168253,"[18, 21, 20, 20, 17, 24, 21, 19, 16, 20, 23, 21, 21, 17, 23, 19, 19, 21, 19, 21]",1.1073071408271788,0.018738051100561075,"[19, 22, 21, 21, 17, 24, 21, 19, 16, 21, 23, 21, 21, 18, 23, 19, 19, 21, 19, 21]"
34,0.17162457942962644,0.003587055291814168,"[23, 21, 23, 20, 23, 22, 23, 20, 21, 21, 24, 21, 23, 21, 18, 21, 22, 24, 21, 24]",2.3476862764358524,0.023609479086255408,"[23, 21, 24, 21, 24, 23, 24, 22, 21, 21, 24, 22, 23, 23, 18, 23, 21, 24, 22, 23]"
38,0.2150004851818085,0.004732503357307252,"[20, 22, 23, 27, 21, 26, 25, 25, 22, 22, 24, 22, 24, 26, 22, 23, 24, 25, 23, 20]",4.78581719994545,0.0489314268388648,"[20, 22, 22, 28, 22, 28, 25, 26, 22, 22, 25, 22, 24, 27, 21, 24, 24, 28, 23, 20]"
42,0.2586576652526856,0.0036173372409133444,"[22, 26, 27, 28, 23, 28, 23, 30, 27, 25, 28, 25, 24, 24, 29, 26, 24, 26, 26, 27]",7.573750215768813,0.0860297873615533,"[22, 26, 27, 26, 25, 30, 25, 31, 27, 26, 29, 25, 27, 25, 29, 27, 25, 26, 29, 26]"
46,0.3117578935623169,0.007575895584591939,"[27, 29, 30, 25, 24, 32, 29, 28, 28, 28, 25, 26, 27, 29, 29, 26, 33, 27, 26, 29]",12.49411072731018,0.11731459090774206,"[27, 30, 30, 28, 25, 30, 30, 30, 29, 31, 28, 28, 26, 30, 29, 28, 34, 28, 27, 30]"
50,0.369026814699173,0.006032555936807449,"[29, 33, 31, 29, 25, 28, 32, 29, 33, 32, 29, 33, 36, 28, 27, 30, 27, 28, 31, 30]",20.694693225622178,0.215789228498348,"[28, 36, 31, 31, 27, 26, 34, 30, 33, 31, 31, 34, 36, 30, 26, 29, 30, 28, 31, 29]"
